Index,Male,Female
1,예산 3492,예산 699
2,제도 3486,제도 637
3,국감 3413,국감 616
4,지역 3148,지역 523
5,산업 2980,안전 517
6,기업 2736,부처 490
7,경제 2681,산업 489
8,안전 2542,대통령 458
9,대통령 2530,개정 453
10,행정 2278,기업 441
11,국정 2267,행정 438
12,부처 2243,환경 433
13,연구 2197,교육 413
14,개정 2181,경제 402
15,지방 2133,복지 400
16,직원 2110,서울 397
17,시장 2108,언론 396
18,법률 2076,연구 391
19,언론 2034,직원 389
20,기술 2026,지방 388
