word,count
예산,13909
제도,12665
국감,12112
지역,11909
산업,10991
기업,10373
경제,10127
대통령,9958
안전,9336
국정,9272
연구,8381
부처,8211
행정,8045
개정,7984
개발,7724
언론,7698
환경,7625
시장,7575
법률,7572
교육,7453
