Index,Male,Female
1,예산 3208,예산 630
2,제도 3137,제도 600
3,대통령 2944,국감 580
4,국감 2725,대통령 515
5,지역 2645,국정 465
6,산업 2554,개정 442
7,기업 2492,지역 439
8,국정 2464,교육 432
9,개정 2258,기업 427
10,경제 2206,부처 422
11,안전 2157,안전 419
12,행정 2085,복지 412
13,연구 2063,산업 402
14,법률 2054,연구 372
15,부처 1977,재인 370
16,교육 1901,행정 367
17,언론 1821,언론 357
18,지방 1792,직원 350
19,개발 1779,자유 349
20,환경 1758,경제 348
