Index,Male,Female
1,예산 3967,예산 657
2,제도 3576,제도 608
3,지역 3339,법안 470
4,경제 2496,개정 458
5,개정 2436,교육 449
6,법안 2303,지역 434
7,법률 2265,부처 415
8,연구 2264,복지 401
9,교육 2264,한나라 382
10,지방 2193,국감 382
11,시장 2189,법률 374
12,국감 2158,민주당 367
13,개발 2132,연구 357
14,대통령 2098,경제 348
15,기업 2053,미국 339
16,행정 2048,시설 329
17,재정 2015,언론 323
18,시설 1999,보도 317
19,출신 1999,행정 314
20,산업 1985,여성 314
