Index,Male,Female
1,예산 3398,예산 526
2,제도 2680,제도 405
3,지역 2563,국감 404
4,국감 2357,교육 399
5,경제 1986,통합 385
6,교육 1882,지역 384
7,직원 1785,민주 325
8,안전 1738,여성 304
9,개발 1723,대통령 303
10,연구 1723,언론 296
11,행정 1714,안전 296
12,기업 1713,보도 282
13,개정 1705,학교 281
14,출신 1689,연구 276
15,법률 1689,민주통합 275
16,국정 1652,직원 272
17,지방 1612,국정 271
18,산업 1588,법안 269
19,시설 1583,복지 269
20,대통령 1570,개정 261
