Index,Male,Female
1,예산 3777,예산 566
2,지역 3139,제도 445
3,제도 3084,지역 392
4,경제 2552,복지 341
5,지방 2250,교육 338
6,교육 2162,부처 331
7,대통령 2135,국감 325
8,연구 2127,법안 324
9,행정 2092,대통령 311
10,기업 2041,연구 309
11,개발 2010,한나라 304
12,개정 1883,개정 302
13,법률 1882,행정 298
14,부처 1840,경제 296
15,산업 1816,지방 289
16,기술 1812,법률 287
17,국감 1810,민주당 281
18,집행 1795,보도 280
19,안전 1788,기업 269
20,출신 1737,개발 261
