Index,Male,Female
1,예산 2918,예산 518
2,제도 2721,제도 481
3,지역 2339,법안 442
4,산업 1996,개정 366
5,경제 1980,지역 356
6,법안 1949,국감 350
7,개발 1948,부처 343
8,개정 1897,국정 332
9,법률 1876,교육 328
10,연구 1849,법률 322
11,행정 1787,문화 320
12,부처 1735,연구 318
13,지방 1733,경제 317
14,국감 1687,미국 303
15,기업 1682,산업 297
16,교육 1672,통합 292
17,시장 1620,시설 290
18,투자 1608,시장 287
19,문화 1569,복지 286
20,환경 1566,개발 283
