Index,Male,Female
1,제도 2230,예산 173
2,국감 2182,코로나 160
3,지역 2066,안전 159
4,코로나 2029,국감 157
5,예산 1922,법안 154
6,산업 1892,법률 154
7,안전 1822,지역 149
8,기업 1733,행정 144
9,개발 1604,개정 144
10,행정 1599,간사 142
11,시장 1553,제도 140
12,환경 1521,환경 136
13,개정 1519,산업 133
14,법안 1473,여야 124
15,공공 1417,서울 124
16,법률 1367,공무원 120
17,국정 1347,법률안 112
18,기술 1346,국정 112
19,부처 1337,대안 111
20,대통령 1303,직원 111
