Index,Male,Female
1,예산 4099,예산 689
2,제도 3634,제도 563
3,지역 3476,지역 530
4,국감 2921,국감 511
5,경제 2661,안전 456
6,산업 2632,교육 447
7,교육 2412,법안 425
8,개발 2407,대통령 422
9,안전 2381,메르스 418
10,연구 2374,국정 410
11,개정 2335,부처 405
12,기업 2259,복지 400
13,법률 2197,언론 387
14,국정 2197,개정 375
15,재정 2150,경제 368
16,대통령 2134,연구 365
17,시장 2089,시설 357
18,부처 2070,보도 355
19,지방 2038,기업 353
20,시설 2024,정치 350
