word,count
예산,2739
제도,2268
국감,2036
교육,1975
지역,1952
대통령,1896
안전,1816
국정,1742
부처,1688
법안,1614
복지,1613
개정,1545
언론,1544
연구,1538
보도,1508
산업,1502
환경,1449
경제,1442
직원,1440
기업,1403
