Index,Male,Female
1,예산 3902,예산 689
2,제도 3661,제도 626
3,지역 3253,안전 602
4,안전 3098,국감 566
5,국감 3002,교육 534
6,산업 2883,부처 519
7,경제 2640,대통령 511
8,교육 2452,국정 498
9,부처 2428,산업 482
10,기업 2419,지역 472
11,연구 2413,복지 449
12,국정 2358,법안 439
13,개정 2324,개정 423
14,개발 2309,연구 419
15,대통령 2276,보도 414
16,직원 2240,언론 403
17,지방 2166,환경 401
18,법률 2106,정치 401
19,시설 2079,직원 396
20,시장 2073,경제 383
