Index,Male,Female
1,코로나 2745,코로나 292
2,국감 2629,지역 249
3,지역 2552,예산 242
4,제도 2480,안전 229
5,예산 2391,코로나19 220
6,안전 2198,간사 210
7,산업 1862,법안 201
8,기업 1851,행정 200
9,행정 1841,법률 194
10,코로나19 1765,개정 191
11,시장 1764,국감 188
12,경제 1707,제도 187
13,공공 1684,직원 156
14,개정 1664,환경 152
15,지방 1601,국정 152
16,법률 1587,통합 151
17,환경 1586,서울 150
18,국정 1566,복지 149
19,부처 1549,산업 147
20,서울 1494,여야 145
