Index,Male,Female
1,예산 4552,예산 643
2,제도 3510,경제 449
3,지역 3477,제도 431
4,경제 3467,법안 425
5,법안 2758,지역 378
6,행정 2734,개정 369
7,개정 2718,한나라 357
8,지방 2532,복지 346
9,연구 2513,부처 343
10,개발 2469,법률 342
11,법률 2357,연구 335
12,대통령 2345,국감 326
13,산업 2344,행정 322
14,기업 2297,교육 319
15,교육 2276,민주당 316
16,부처 2251,대통령 313
17,집행 2248,안전 308
18,안전 2189,가족 303
19,심의 2166,미국 292
20,기술 2159,보건 291
