word,count
예산,16389
제도,14122
지역,13086
국감,11457
경제,10739
산업,10187
안전,9956
대통령,9280
교육,9276
개정,9263
기업,9138
연구,9119
국정,9081
개발,8909
법률,8744
부처,8667
직원,8572
지방,8539
재정,8184
행정,8117
