word,count
예산,2647
제도,2324
국감,2310
지역,1964
안전,1842
산업,1731
기업,1701
대통령,1683
부처,1679
국정,1626
개정,1600
교육,1584
복지,1579
연구,1539
경제,1520
행정,1487
환경,1477
언론,1451
법안,1393
서울,1380
