word,count
예산,16330
제도,13054
지역,12635
경제,11575
지방,8995
개정,8933
연구,8908
행정,8905
대통령,8682
개발,8676
교육,8575
기업,8491
법률,8222
법안,8199
산업,8169
부처,7963
시장,7844
국감,7834
기술,7597
집행,7569
