Index,Male,Female
1,예산 3412,예산 672
2,제도 2717,국감 521
3,지역 2638,제도 502
4,산업 2523,국정 459
5,경제 2497,기업 459
6,국감 2461,지역 435
7,기업 2420,안전 431
8,국정 2195,대통령 422
9,대통령 2147,경제 413
10,안전 2111,산업 412
11,부처 1962,복지 410
12,교육 1931,부처 399
13,연구 1926,언론 396
14,언론 1874,연구 395
15,개발 1841,교육 394
16,보도 1791,보도 377
17,재정 1741,직원 337
18,직원 1715,서울 328
19,시장 1690,기재 320
20,출신 1627,보건 318
