word,count
예산,56397
제도,49979
지역,46408
경제,38074
국감,37317
산업,36490
기업,32753
개정,31426
연구,30182
대통령,28915
부처,27906
지방,26945
안전,26689
개발,26329
법률,26159
교육,25263
행정,24663
국정,22812
시장,20595
법안,12997
직원,12038
기술,10815
재정,10368
언론,9787
환경,8296
시설,7685
출신,7052
투자,5357
코로나,4774
집행,4043
미국,3909
문화,3484
공공,3101
심의,2166
보도,1791
코로나19,1765
서울,1494
