Index,Male,Female
1,국감 3198,예산 627
2,예산 3117,국감 583
3,제도 2868,제도 578
4,지역 2732,지역 500
5,산업 2459,안전 454
6,기업 2357,산업 419
7,경제 2281,개정 389
8,안전 2077,법안 381
9,국정 2062,기업 379
10,대통령 2004,부처 377
11,연구 1874,연구 376
12,환경 1865,행정 374
13,행정 1825,환경 367
14,개발 1752,교육 365
15,언론 1739,자유 349
16,시장 1698,복지 349
17,직원 1697,국정 344
18,기술 1693,경제 342
19,부처 1679,시설 335
20,개정 1613,법률 330
