Index,Male,Female
1,예산 4625,예산 796
2,제도 3975,제도 641
3,지역 3557,대통령 615
4,경제 3212,교육 564
5,대통령 3123,국감 540
6,국감 3109,지역 539
7,산업 2916,국정 529
8,국정 2737,민주당 488
9,개정 2699,부처 472
10,기업 2606,복지 468
11,부처 2589,법안 468
12,안전 2588,개정 460
13,법률 2573,연구 458
14,지방 2502,산업 454
15,직원 2491,언론 439
16,연구 2473,보도 438
17,교육 2375,안전 434
18,법안 2355,환경 423
19,재정 2351,직원 410
20,언론 2319,경제 403
