Index,Male,Female
1,예산 3955,예산 513
2,경제 3069,경제 386
3,제도 2867,복지 346
4,지역 2677,제도 338
5,대통령 2306,한나라 321
6,행정 2146,대통령 314
7,기업 2094,국감 313
8,부처 2076,지역 301
9,개발 2067,부처 300
10,지방 2033,교육 294
11,연구 2022,연구 290
12,산업 2013,가족 286
13,국정 1967,보건 283
14,미국 1956,미국 277
15,시장 1943,국정 271
16,교육 1916,개정 268
17,개정 1906,민주당 268
18,투자 1894,법률 255
19,국감 1806,안전 250
20,기술 1779,집행 250
