word,count
예산,2341
제도,1794
지역,1479
경제,1430
법안,1427
복지,1381
교육,1365
개정,1357
국감,1346
부처,1337
한나라,1320
연구,1266
법률,1250
민주당,1208
대통령,1182
미국,1150
행정,1139
국정,1095
기업,1088
안전,1086
